rid,stars,date,text
1423270,2,2012-05-29,"We tried to go to Blue Owl's soft opening, but it didn't work out when the carpenter showed up unannounced.  We decided to use Axxess card and gave Aldo's a try.   The decor had a rustic Tuscan feel, especially if you choose to dine al fresco.  The lunch entrees were generously portioned and moderately priced.  The food was slightly better than national chain such as Olive Garden, but far from being good authentic Italian.  You can definitely tell that some components of your meals are not made from scratch, thereby, explains the moderate pricing and the generous portions.  Given the ambiance, price, and the quality, this place is right in the middle, nothing bad, but nothing that warrants more visits in the future.  

We got some complementary French bread with garlic dipping oil to start.  The French bread was typical grocery store quality French bread, but being a garlic fiend, I loved the garlic oil even if it was not made with extra virgin olive oil.  The pan sauteed salmon was served with a olive caper tomato sauce and rested on top of shaved squash and carrots.  The striation and fattiness of the salmon suggested that it was probably farmed and not wild salmon as the specials board suggested.  I was really hoping for some Copper River salmon.  The sauce was savory and tangy, but too oily.  The squash and carrot ribbons were not overcooked and maintain some of their crispness.  The flat iron steak was cooked to a medium rare, relatively tender (for the price, you can't expect tenderloin or ribeye), and topped with flavorful mushroom, pepper, onion, blue cheese, and chimichurri sauce.  The fries was the typical frozen food supplier variety.  It was fine as a side, but nothing memorable and definitely not worth ordering from the appetizer menu.  I have to advice against ordering desserts here.  It was expensive at $8, and It didn't look like it was made in house.  

The service was mediocre.  There were times when we wonder where our server went, but it maybe because we went during the end of the lunch shift.  When I got the check, I noticed that a 20% service charge was added onto the check.  Its atypical to add a service charge for a party of 4, two of which are kids by the way.  I dine out frequently and I know the etiquette to always tip on the amount before the discount and this is the first time I have seen a restaurant imposing a mandatory 20% service charge for everyone."
1423434,5,2012-04-29,Best italian food ever! Ciopinno is amazing!
1424172,3,2012-03-01,"Went their for lunch and had a pleasant meal. Was surprised to learn that their was a 20% mandatory service charge for the waiter. Sorry, but I don't like to be told what to tip. I will never be going back here for that very reason."
1424888,5,2013-08-04,"Aldo's has become an anniversary tradition for us. 

If you are looking for a great Italian meal, without breaking the bank, this is the restaurant for you.  The ambiance is great, combined with fantastic food and service. 

My wife enjoyed a very generous portion of Chicken Parmesan, and I had the BBQ chicken pizza.  Both of us were more than satisfied and didn't leave room for dessert. 

Has a great feeling of a family owned business, the type that you want to support and I hope they are there for a very long time."
1426761,4,2013-08-04,"We stumbled upon Aldo's on a recent trip to SB. Caesar Salad , mussels, Angel hair Pomadoro all delicious.Great change of pace than seafood and Mexican.The courtyard is charming and the prices reasonable."
1432674,5,2013-11-14,"Aldos has improved dramatically since Brad bought the place a few years ago. The food and service are consistently excellent, with many new choices and a largely organic and/or hormone-free menu. There is even gluten-free pasta! It used to be just a tourist trap due to its State Street location. Now it's an excellent restaurant that I recommend to locals as much as to out of town visitors."
1443678,2,2012-04-02,"I've been meaning to write this review for a while.

Came here to eat with my boyfriend and another couple. We had a reservation so we didn't have to wait for a table, which was nice, however when we got to the table it was several minutes before we were greeted and even longer before we got drinks.

The waiter wasn't great, and it took a while for our salads to come out. so long, in fact that our food was ready just 2 minutes after we received soup/salad, and they tried to deliver it to us! Obviously we weren't ready. Instead of acknowledging their mistake, and re-making our food, it sat in the window for 10 minutes. I could tell because by the time they brought it back everything was soggy and chewy. 
The food was not great and definitely not worth the price.

I don't live in Santa Barbara anymore, but when I go back to visit, this will not be one of the places I'll eat."
1443808,5,2013-12-09,"This is my new favorite Italian place in Santa Barbara. My husband and I used to be fans of Palazzio, but once we went here (which is across the street) we felt bad because we knew we wouldn't go back there. They brought out bread with olive oil when you get there. Usually, I would ask for some balsamic but I thought I'd try it without and the olive oil was really good. Usually I don't notice much flavor to olive oil but this one was great. We ended up getting caprese as an appetizer. They cut up the basil so that it's more like a salad which was different, but made it easy to eat. All the ingredients were amazing! The cheese that they used was SOOOO good and so creamy! Best caprese I've had! For dinner my husband got the Chicken Parmigiana and I had the Linguine de Mare. Both were very flavorful and delicious. We followed it up with some dessert. Creme brulee and cannoli. Muah! So good. Yes, overall the bill was expensive, but for what you got, it was well worth it. The setting is nice too for a romantic date and for a nice, relaxing dinner. I will definitely go back again and recommend it highly for nice and not too expensive (like other Italian places in SB) Italian food."
1444533,4,2012-12-07,"I love this restaurant! Great food, nice ambiance. I especially like the Kale salad. Try it out it won't disappoint . . ."
1449665,4,2013-09-05,"I go here nearly every time I go to downtown Santa Barbara (mind you, that's not often) but every time has been very good. They have great pasta and great pizza. They are a little on the pricey side, but when I got to places like this, I expect pricey anyways."
1456740,1,2013-05-10,"Aldo's put a huge damper on our first night in Santa Barbara.  The menu tempted us with its description of  filet mignon ""medallions"" and mashed potatoes.  Who doesn't love a good steak?  We were optimistic when the bread and dipping oil was very tasty, but that is where things took a bad turn.  Our steak was looked and tasted like no filet mignon we've ever tasted before.  It was tough and grotesquely shaped, it was giant balls of gross drowned in a brown sauce that didn't  help matters.  No good steak needs to be drowned a sauce.  The mashed potatoes I thought were just not whipped enough, because the consistency was too chunky, but it seemed they were reheated, the way they stayed smashed together in a lump when you put your fork into it, like mashed potatoes the day after Thanksgiving.  They took 20% off our tab when they saw I hardly touched my food and asked if there was a  problem.  We were polite about it, but honest, hoping the owners take their customer's feedback seriously.  If this place wasn't on the main tourist strip, it would be empty.  We went the next day to that chain family joint on the beach, had fish tacos and a turkey burger and how I wished we had eaten there instead of Aldo's.  I hope they read yelp and make some serious changes in their kitchen."
